COUNTRY,Total_sale
USA,5373
Germany,5357
France,5355
Spain,5348
Singapore,5344
Spain,5341
USA,5341
France,5332
Norway,5326
Spain,5324
France,5318
USA,5305
Spain,5303
Spain,5303
Australia,5296
Australia,5288
Singapore,5286
USA,5285
Australia,5284
Italy,5279
Spain,5279
France,5275
USA,5274
USA,5266
Switzerland,5260
USA,5248
USA,5247
Italy,5240
USA,5233
USA,5223
France,5209
Spain,5208
USA,5203
Austria,5203
Italy,5197
Spain,5196
USA,5193
France,5193
Spain,5191
Norway,5190
Singapore,5190
Finland,5182
USA,5182
USA,5176
USA,5171
France,5168
France,5161
USA,5161
USA,5161
USA,5152
USA,5151
USA,5128
Spain,5127
Spain,5127
Italy,5126
France,5124
USA,5111
USA,5105
Finland,5099
USA,5097
USA,5094
Spain,5090
USA,5082
USA,5080
Spain,5070
Switzerland,5053
Ireland,5045
USA,5044
Italy,5036
Italy,5035
USA,5035
Singapore,5033
Ireland,5033
Australia,5030
USA,5027
Australia,5020
USA,5018
Spain,5018
Australia,5014
Austria,5013
Austria,5005
France,5005
Australia,5002
Australia,4998
USA,4993
USA,4991
USA,4986
USA,4984
USA,4983
Australia,4977
USA,4966
USA,4965
Spain,4954
USA,4950
Spain,4948
Australia,4948
Spain,4947
Italy,4946
USA,4935
France,4934
Spain,4932
USA,4917
Australia,4910
Spain,4910
Australia,4905
Spain,4904
USA,4901
France,4897
USA,4895
Spain,4894
USA,4892
USA,4891
USA,4885
Singapore,4880
Singapore,4873
USA,4873
USA,4872
USA,4860
USA,4849
USA,4846
Spain,4841
Spain,4837
USA,4830
Spain,4826
USA,4819
USA,4816
France,4815
Australia,4815
Australia,4814
USA,4814
Italy,4813
France,4812
USA,4808
USA,4808
Spain,4802
USA,4797
Norway,4792
USA,4784
Denmark,4782
Australia,4775
Italy,4775
USA,4773
France,4772
Italy,4765
France,4764
France,4758
Switzerland,4756
Germany,4753
Italy,4751
USA,4746
USA,4739
Germany,4737
USA,4729
Australia,4725
USA,4720
USA,4716
Ireland,4714
France,4708
USA,4705
USA,4704
France,4702
France,4696
USA,4693
France,4693
Spain,4685
Austria,4682
USA,4675
Austria,4675
USA,4668
Singapore,4667
Singapore,4662
Norway,4660
Australia,4652
USA,4646
Australia,4643
USA,4641
Singapore,4641
Australia,4639
USA,4636
USA,4629
Finland,4628
France,4619
USA,4618
Spain,4616
France,4614
Spain,4610
USA,4608
Spain,4607
USA,4601
Spain,4597
Spain,4595
Austria,4595
USA,4593
USA,4592
USA,4581
USA,4570
Denmark,4566
Switzerland,4564
Spain,4557
Singapore,4556
USA,4556
USA,4555
Switzerland,4550
USA,4537
Spain,4536
Spain,4535
Switzerland,4529
USA,4529
USA,4528
USA,4527
Finland,4526
Australia,4524
USA,4522
Switzerland,4518
Spain,4516
USA,4515
USA,4512
France,4509
Singapore,4509
France,4508
USA,4498
Italy,4493
Spain,4492
USA,4490
Australia,4480
Finland,4480
France,4473
USA,4472
Italy,4468
Austria,4464
France,4462
Norway,4461
USA,4457
Italy,4455
France,4447
Australia,4445
USA,4445
France,4442
USA,4433
USA,4432
Australia,4428
Spain,4428
USA,4428
USA,4421
USA,4420
Spain,4410
USA,4409
Spain,4408
USA,4407
Spain,4406
USA,4405
Spain,4399
USA,4396
USA,4395
Norway,4394
Australia,4392
Austria,4391
Finland,4382
France,4380
USA,4379
USA,4369
USA,4365
USA,4358
Spain,4358
Finland,4353
Italy,4352
France,4347
France,4340
Denmark,4330
Australia,4329
Spain,4327
France,4325
USA,4324
USA,4311
Switzerland,4311
USA,4308
France,4305
USA,4305
Australia,4302
USA,4301
France,4301
France,4301
Switzerland,4300
Switzerland,4297
Germany,4297
Singapore,4285
USA,4283
Australia,4277
Spain,4273
France,4264
France,4262
USA,4258
USA,4257
Spain,4253
USA,4248
Italy,4242
USA,4242
Germany,4238
Spain,4236
Norway,4235
USA,4233
Australia,4232
USA,4231
Norway,4228
USA,4224
USA,4223
Austria,4221
USA,4219
Spain,4219
France,4215
France,4215
France,4208
Denmark,4207
USA,4206
Spain,4204
Australia,4197
France,4197
USA,4196
USA,4193
USA,4191
USA,4187
Spain,4187
USA,4183
USA,8363
Spain,4180
France,4177
Singapore,4176
USA,4175
USA,4173
USA,4171
USA,4170
USA,4167
Italy,4166
France,4164
Australia,4164
USA,4161
USA,4157
Finland,4157
Italy,4157
Spain,4149
Spain,4144
France,4143
Spain,4142
Spain,4141
Austria,4136
USA,4134
France,4121
USA,4119
USA,4117
USA,4115
Italy,4114
USA,4112
USA,4107
Spain,4103
USA,4103
France,4101
Singapore,4100
USA,4100
Australia,4095
Spain,4095
USA,4094
USA,4089
Spain,4086
USA,4081
USA,4076
Italy,4072
USA,4072
Germany,4071
USA,4069
Ireland,4062
France,4059
Spain,4055
USA,4053
Australia,4048
Finland,4046
USA,4044
USA,4044
Australia,4042
France,4040
Spain,4039
USA,4039
USA,4038
Spain,4036
Austria,4036
Singapore,4033
USA,4032
Finland,4026
Italy,4022
USA,4009
Denmark,4000
USA,3990
Germany,3989
USA,3987
Italy,3987
Ireland,3986
Germany,3985
Denmark,3984
Ireland,3983
Finland,3979
Germany,3975
Spain,3971
Spain,3966
Australia,3966
USA,3964
Spain,3963
USA,3958
France,3958
Spain,3953
USA,3953
France,3950
Australia,3949
USA,3946
Australia,3945
USA,3943
Spain,3940
France,3938
USA,3937
USA,3934
Australia,3934
Spain,3930
USA,3929
France,3928
USA,3925
Australia,3921
Norway,3920
USA,3919
Spain,3919
USA,3918
USA,3914
Australia,3911
Spain,3910
France,3910
USA,3909
USA,3909
Australia,3908
USA,3902
Singapore,3901
USA,3896
USA,3892
USA,3892
USA,3892
France,3884
USA,3884
USA,3881
Australia,3880
USA,3877
Australia,3872
France,3867
Australia,3866
France,3864
Australia,3864
Germany,3861
USA,3859
Spain,3858
Spain,3857
France,3857
USA,3854
USA,3847
Spain,3846
USA,3846
USA,3845
Spain,3844
USA,3843
USA,3843
Germany,3841
USA,3838
USA,3837
Australia,3834
Austria,3833
USA,3832
USA,3824
Singapore,3823
USA,3822
USA,3820
Austria,3820
Italy,3815
Spain,3815
USA,3807
USA,3807
USA,3803
Spain,3802
France,3793
USA,3792
USA,3790
France,3790
USA,3788
Germany,3788
France,3788
Germany,3786
Germany,3782
USA,3779
Finland,3778
France,3778
Germany,3773
Spain,3773
USA,3765
Denmark,3765
Italy,3763
Spain,3761
France,3757
USA,3756
USA,3754
Singapore,3754
USA,3751
USA,3747
France,3745
Spain,3736
France,3735
Finland,3734
USA,7468
USA,3734
USA,3729
France,3726
USA,3724
Spain,3722
USA,3717
Finland,3715
France,3713
France,3713
USA,3711
Australia,3711
USA,3711
Spain,3705
Italy,3704
USA,3703
USA,3700
France,3693
USA,3685
Norway,3680
USA,3677
Spain,3676
Australia,3675
Italy,3669
Italy,3668
France,3668
France,3667
USA,3666
USA,3664
USA,3663
USA,3661
Italy,3659
USA,3659
USA,3659
USA,3658
Singapore,3658
Spain,3652
France,3645
Austria,3644
Spain,3642
Australia,3639
USA,3630
France,3630
USA,3629
Switzerland,3625
Finland,3623
France,3619
Spain,3617
USA,3612
Australia,3609
USA,3609
USA,3608
USA,3608
Spain,3604
France,3602
Spain,3600
Australia,3600
France,3599
France,3598
Australia,3598
Australia,3586
Austria,3584
France,3583
Italy,3582
France,3578
Spain,3576
USA,3572
France,3570
Austria,3570
France,3567
Spain,3566
USA,3565
USA,3561
USA,3560
France,3559
France,3554
Singapore,3551
Spain,3550
USA,3545
Finland,3544
Australia,3544
USA,3543
Switzerland,3541
Austria,3537
USA,3536
France,3535
USA,3534
USA,3532
Australia,3528
Spain,3527
Spain,3526
Switzerland,3525
USA,3525
USA,3524
France,3521
Spain,3521
Switzerland,3516
USA,3516
USA,3510
Italy,3509
USA,3502
USA,3500
Spain,3496
USA,3495
USA,3494
USA,3494
France,3492
USA,3491
USA,3488
Finland,3482
USA,3480
Spain,3479
USA,3478
Germany,3478
USA,3477
France,3476
Italy,3474
USA,3474
USA,3473
Australia,3470
Denmark,3469
Spain,3467
Spain,3461
USA,3458
Spain,3458
USA,3456
Italy,3453
USA,6902
USA,3449
Germany,3448
Spain,3448
USA,3447
USA,3443
USA,3442
Spain,3442
Spain,3441
Denmark,3440
USA,3433
Switzerland,3432
Australia,3432
USA,3432
USA,3431
France,3431
USA,3427
USA,3425
France,3425
USA,3424
Italy,3421
France,3420
Australia,3417
Spain,3416
Germany,3416
USA,3415
Germany,3415
USA,3407
Norway,3403
Denmark,3403
USA,3403
Finland,3400
Norway,3395
Spain,3394
Finland,3393
Spain,3391
Spain,3390
USA,3390
USA,3388
Australia,3386
USA,3384
Denmark,3382
France,3381
Singapore,3380
Spain,3377
USA,3376
Spain,3375
France,3371
Austria,3368
USA,3366
Spain,3361
USA,3360
Spain,3358
USA,3358
France,3357
Spain,3353
USA,3351
France,3351
Italy,3349
Spain,3348
USA,3345
France,3343
Spain,3341
Spain,3340
USA,3338
Singapore,3338
France,3337
USA,3335
USA,3331
USA,3329
USA,3328
Finland,3328
USA,3326
USA,3324
France,3318
USA,3315
Italy,3313
Spain,3311
France,3308
Austria,3307
USA,3305
USA,3302
USA,3301
USA,3299
Spain,3298
France,3293
France,3293
Spain,3290
USA,3289
USA,3288
USA,3286
USA,3282
Australia,3276
Finland,3276
France,3274
Italy,3274
Austria,3273
Australia,3268
Spain,3267
Spain,3266
USA,3260
USA,3258
USA,3256
USA,3255
Australia,3255
USA,3251
Denmark,3249
USA,3247
USA,3246
USA,3245
USA,3244
USA,3242
Italy,3242
USA,3239
Spain,3236
Switzerland,3235
USA,3233
USA,3231
USA,3230
Spain,3228
Norway,3224
France,3224
France,6444
Finland,3220
USA,3211
Denmark,3209
USA,3207
USA,3206
Denmark,3205
USA,3204
Spain,3200
Australia,3200
Austria,3195
Denmark,3194
USA,3193
Singapore,3191
USA,3190
USA,3189
USA,3188
Denmark,3188
Australia,3186
Australia,3185
USA,3185
France,3185
USA,3184
USA,3183
USA,3183
USA,3182
USA,3180
Spain,3178
Italy,3177
USA,3176
France,3172
USA,3171
USA,3170
Austria,3170
Denmark,3167
USA,3167
Spain,3167
USA,3165
France,3165
Denmark,3164
Spain,3164
France,3164
USA,3163
Australia,3161
Australia,3160
USA,3160
USA,3157
USA,3156
USA,3156
USA,3155
USA,3155
USA,3155
USA,3154
Singapore,3149
Denmark,3148
USA,3146
France,3145
France,3142
Australia,3142
France,3142
Spain,3140
USA,3138
USA,3136
USA,3132
USA,3131
Spain,3129
Singapore,3128
Germany,3128
USA,3116
Italy,3115
France,3114
USA,3114
France,3112
USA,3108
Australia,3107
USA,3106
France,3106
Spain,3104
Spain,3102
Germany,3100
USA,3099
France,3099
USA,3097
Australia,3095
France,3093
USA,3092
France,3090
Spain,3087
USA,3081
USA,3079
USA,3078
USA,3078
France,3074
Italy,3073
USA,3073
USA,3071
Spain,3071
Australia,3070
USA,3069
Finland,3069
Austria,3067
Austria,3066
Denmark,3065
France,3065
USA,3064
USA,3061
Singapore,3055
USA,3054
Spain,3053
USA,3052
Norway,3052
USA,3051
USA,3048
USA,3043
Switzerland,3043
France,3042
Switzerland,3040
USA,3038
USA,3037
Finland,3036
Spain,3036
USA,3033
France,3029
USA,3029
Singapore,3028
USA,3025
Finland,3024
Spain,3023
Spain,3021
Spain,3019
USA,3014
USA,3012
Germany,3012
Italy,3006
Spain,3006
Spain,3003
USA,3002
Denmark,3000
Australia,2998
Spain,2995
France,2994
Spain,2992
USA,2986
Spain,2986
USA,2985
Australia,2983
USA,2981
France,2973
USA,2971
USA,2957
USA,2956
USA,2955
Italy,2955
France,2954
Italy,2949
Spain,2948
Italy,2942
USA,2938
Singapore,2937
Denmark,2935
Italy,2935
Italy,2932
USA,2930
Spain,2928
Finland,2926
France,2925
USA,2925
Spain,2924
Spain,2923
Spain,2922
Spain,2922
Australia,2921
USA,2920
Germany,2917
USA,2916
Italy,2916
USA,2914
Spain,2914
USA,2913
USA,2910
Australia,2909
USA,2908
USA,2907
USA,2906
France,2904
Denmark,2897
Spain,2897
Austria,2896
Finland,2884
Germany,2880
USA,2877
USA,2876
Norway,2873
USA,2871
USA,2867
Spain,2864
France,2864
Switzerland,2864
Ireland,2857
USA,2856
USA,2856
Spain,2855
USA,2852
USA,5703
USA,2851
Singapore,2851
Australia,2849
USA,2848
Finland,2847
Switzerland,2847
USA,2846
USA,2845
USA,2844
USA,2844
Spain,2839
USA,2839
France,2837
Singapore,2835
USA,2832
France,2832
USA,2832
Singapore,2830
USA,2830
Italy,2828
USA,2826
Italy,2825
Germany,2820
Italy,2819
France,2819
Australia,2816
USA,2814
France,2811
Germany,2808
Italy,2807
Denmark,2805
Singapore,2804
USA,2803
Italy,2803
Australia,2802
Germany,2801
Italy,2800
Spain,2798
France,2798
USA,2797
Spain,2796
Spain,2795
Australia,2794
Spain,2794
USA,2793
USA,2793
USA,2783
USA,2782
Spain,2781
Singapore,2781
USA,2780
USA,2771
Australia,2770
France,2766
USA,2765
USA,2762
France,2762
Italy,2762
Italy,2762
USA,2761
Denmark,2760
Italy,2759
USA,2759
Australia,2755
USA,2753
France,2749
Spain,2748
USA,2748
Australia,2743
Spain,2739
USA,2733
Denmark,2732
Austria,2730
France,2730
Australia,2730
Italy,2728
Singapore,2728
Australia,2725
USA,2720
USA,2719
USA,2714
Spain,2712
Spain,2712
France,2711
USA,2708
Australia,2702
Spain,2702
Finland,2702
Finland,2701
Spain,2698
USA,2697
Spain,2695
USA,2694
USA,2694
USA,2693
Denmark,2692
Austria,2692
Spain,2691
USA,2688
Norway,2688
Austria,2687
Switzerland,2684
France,2683
Italy,2681
Finland,2677
Switzerland,2675
Italy,2675
Australia,2675
Italy,2674
Spain,2673
Australia,2672
Spain,2671
France,2671
Spain,2669
USA,2669
USA,2660
USA,2658
Spain,2658
USA,2658
Australia,2657
USA,2656
USA,2655
USA,2654
Norway,2651
Spain,2651
USA,2650
Spain,2647
USA,2644
Spain,2642
USA,2640
USA,2637
Austria,2635
USA,2635
USA,2634
Australia,2634
USA,2633
USA,2632
France,2629
USA,2627
USA,2626
France,2626
France,2625
USA,5248
France,2622
Spain,2621
Italy,2621
Finland,2618
Australia,2617
Italy,2617
Singapore,2616
France,2614
USA,2612
USA,2612
Spain,2611
Australia,2610
USA,2609
USA,2605
USA,2604
USA,2603
France,2603
USA,2602
USA,2600
USA,2600
Australia,2599
USA,2599
Finland,2597
France,2592
USA,2588
Finland,2587
USA,2587
USA,2586
Australia,2585
Norway,2584
USA,2583
USA,2579
France,2578
USA,2576
USA,2576
France,2575
Spain,2573
Italy,2571
USA,2568
Australia,2568
USA,2560
USA,5119
Denmark,2556
USA,2545
USA,2544
France,2542
USA,2542
Australia,2540
Norway,2540
Spain,2539
Singapore,2538
Australia,2535
USA,2534
USA,2531
USA,2530
Spain,2528
Italy,2527
Italy,2527
Spain,2526
USA,2525
France,2521
Austria,2521
Spain,2515
France,2515
Finland,2513
Spain,2513
France,2509
France,2509
Germany,2505
USA,2504
Finland,2503
USA,2502
Austria,2499
France,2498
Switzerland,2496
USA,2493
USA,2493
Australia,2492
USA,2490
Spain,2488
USA,2488
France,2488
Spain,2487
Spain,2487
Norway,2483
USA,2482
USA,2482
Denmark,2482
Italy,2482
Australia,2480
Australia,2479
USA,2477
Australia,2475
Germany,2473
USA,2473
USA,2471
France,2469
Australia,2468
Australia,2465
Italy,2465
Spain,2464
Australia,2461
France,2460
Italy,2457
Australia,2455
Italy,2455
USA,2454
Spain,2452
Italy,2449
Spain,2446
Austria,2444
France,2443
USA,2443
USA,2441
Germany,2441
France,2441
USA,2440
Spain,2440
France,2437
USA,2432
USA,2431
USA,2428
Spain,2428
USA,2424
USA,2422
Singapore,2420
Australia,2420
Italy,2418
Australia,2417
USA,2415
USA,2413
USA,2411
USA,2409
Italy,2406
USA,2402
Spain,2400
France,2399
Spain,2399
Spain,2398
France,2397
USA,2396
Finland,2394
USA,2390
USA,2390
Singapore,2385
Singapore,2381
France,2380
USA,2365
USA,2363
Australia,2356
Finland,2353
France,2353
USA,2353
USA,2353
Singapore,2351
France,2351
USA,2350
Spain,2349
USA,2349
Spain,2345
France,2342
Australia,2341
Denmark,2340
USA,2338
Denmark,2337
USA,2335
USA,2333
Singapore,2329
USA,2329
Denmark,2327
USA,2326
USA,2326
USA,2324
USA,2322
USA,2321
France,2317
USA,2316
USA,2316
Spain,2315
Spain,2314
France,2314
France,2312
USA,2311
Spain,2310
Spain,2307
France,2302
USA,2299
Australia,2298
Australia,2297
USA,2297
USA,2294
Germany,2293
Australia,2289
Spain,2282
Australia,2282
USA,2282
France,2281
USA,2280
USA,2280
Australia,2279
France,2276
USA,2275
Spain,2274
Australia,2270
Spain,2267
USA,2266
Australia,2264
USA,2263
USA,2263
Spain,2260
USA,2258
Spain,2258
USA,2258
Spain,2256
USA,2255
Spain,2255
France,2254
USA,2251
France,2249
USA,2246
USA,2246
USA,2245
Singapore,2245
Spain,2244
Norway,2243
Germany,2242
USA,2241
Singapore,2241
USA,2235
Ireland,2234
Australia,2234
France,2233
Spain,2232
France,2230
France,2228
USA,2226
USA,2225
France,2221
Austria,2219
Spain,2218
USA,2217
USA,2215
USA,2213
Spain,2213
USA,2213
USA,2212
Australia,2209
Singapore,2208
Spain,2207
Spain,2205
Singapore,2204
USA,2204
France,2203
Spain,2202
Austria,2202
USA,2200
Australia,2194
Finland,2194
USA,2193
USA,2191
Australia,2190
USA,2187
Spain,2185
USA,2184
Singapore,2184
USA,2183
Spain,2182
Finland,2182
USA,2181
France,2174
USA,2174
Spain,2172
USA,2172
Germany,2171
France,2170
France,2168
USA,2167
Germany,2164
Spain,2160
USA,2154
France,2154
USA,2152
USA,2152
USA,2150
Spain,2150
Singapore,2148
USA,2147
Denmark,2145
USA,2144
France,2143
USA,2142
USA,2142
France,2142
Italy,2137
France,2136
Australia,2131
USA,2131
Italy,2122
USA,2116
France,2116
France,2115
Australia,2113
Italy,2112
Spain,2110
Singapore,2104
Italy,2101
Finland,2101
USA,2100
Ireland,2096
Australia,2095
France,2094
USA,2094
USA,2091
USA,2087
Italy,2085
Australia,2083
USA,2083
Australia,2082
France,2082
Australia,2078
Spain,2076
Spain,2071
USA,2071
Ireland,2070
France,2063
Denmark,2063
USA,2057
Ireland,2056
USA,2056
USA,2055
USA,2054
Spain,2052
USA,2051
France,2046
France,2043
Denmark,2039
Denmark,2034
USA,2034
USA,2031
USA,2031
USA,2028
France,2028
Spain,2025
France,2023
Germany,2023
Denmark,2023
Spain,2019
Austria,2019
USA,2018
Denmark,2014
Singapore,2012
Norway,2011
USA,2011
France,2010
Spain,2009
USA,2008
USA,2008
USA,2005
USA,2001
USA,1998
France,1992
USA,1992
France,1988
USA,1987
USA,1980
USA,1979
Spain,1972
USA,1972
USA,1972
France,1968
Austria,1968
France,1965
USA,1964
Spain,1962
Spain,1962
Austria,1961
France,1960
Finland,1959
USA,1959
Germany,1956
USA,1952
Italy,1948
USA,1943
Spain,1942
USA,1940
Germany,1939
Norway,1939
USA,1934
USA,1932
France,1930
USA,1927
Italy,1922
Italy,1921
France,1919
USA,1918
USA,1917
Austria,1917
Spain,1911
France,1909
Finland,1908
Australia,1906
USA,1903
France,1902
Spain,1900
Finland,1900
Australia,1897
France,1896
USA,1892
Finland,1892
USA,1889
France,1888
USA,1884
France,1884
USA,1880
Austria,1879
USA,1875
USA,1874
USA,1869
USA,1865
Spain,1863
Germany,1863
Spain,1863
Spain,1861
Spain,1860
USA,1858
Italy,1857
France,1853
USA,1853
USA,1852
Spain,1845
USA,1844
France,1836
USA,1834
Spain,1834
Germany,1833
USA,1831
USA,1828
USA,1827
Spain,1824
USA,1823
Germany,1822
USA,1822
USA,1820
USA,1811
USA,1808
Spain,1808
USA,1804
USA,1804
Singapore,1802
Australia,1801
USA,1800
France,1796
France,1795
France,1791
Spain,1789
France,1788
USA,1788
USA,1786
USA,1780
Spain,1780
Germany,1778
USA,1774
USA,1771
Spain,1767
USA,1766
Italy,1766
Spain,1765
Spain,1758
USA,1755
Singapore,1753
Denmark,1753
USA,1750
USA,1748
Australia,1747
France,1747
USA,1747
USA,1742
Spain,1742
USA,1742
France,1741
France,1738
USA,1736
Australia,1735
France,1734
Singapore,1734
USA,1732
France,1732
Singapore,1729
USA,1729
France,1726
USA,1725
France,1725
USA,1718
Australia,1716
USA,1716
USA,1714
Spain,1711
USA,1711
France,1707
Australia,1707
Spain,1706
Spain,1704
USA,1703
Spain,1702
USA,1701
USA,1699
Germany,1697
Australia,1696
France,1695
Australia,1694
France,1691
USA,1689
Singapore,1688
USA,1687
Germany,1685
USA,1685
France,1682
France,1681
Australia,1681
France,1676
Spain,1675
USA,1674
Germany,1672
Finland,1671
Finland,1670
Australia,1668
Australia,1668
France,1668
USA,1667
Spain,1667
USA,1667
Ireland,1666
USA,1662
USA,1661
Norway,1659
Italy,1658
Spain,1658
Italy,1657
France,1649
USA,1646
USA,1646
USA,1643
Spain,1640
USA,1639
France,1638
Australia,1633
Italy,1631
Spain,1630
Finland,1628
Finland,1624
France,1623
USA,1622
Finland,1611
France,1611
Spain,1611
France,1605
Spain,1597
France,1593
Italy,1592
Spain,1587
USA,1585
USA,1585
Italy,1585
USA,1577
USA,1576
Australia,1576
Spain,1575
Italy,1574
Spain,1570
USA,1570
Italy,1566
Australia,1562
France,1560
France,1559
Spain,1559
USA,1558
Italy,1557
Spain,1557
USA,1554
France,1551
Germany,1550
France,1546
Australia,1546
Denmark,1541
Austria,1540
Switzerland,1538
France,1537
USA,1535
Australia,1535
Spain,1535
USA,1529
France,1528
USA,1518
USA,1518
Spain,1518
USA,1517
France,1515
Spain,1514
USA,1511
Spain,1508
USA,1507
Australia,1506
Italy,1504
France,1504
Denmark,1501
Singapore,1499
USA,1497
Germany,1496
Italy,1495
USA,1490
USA,1490
USA,1489
Spain,1487
USA,1486
Denmark,1484
France,1483
Italy,1483
USA,1480
Singapore,1477
Spain,1476
Spain,1476
Norway,1475
USA,1467
USA,1464
USA,1463
France,1463
Austria,1460
Italy,1460
Ireland,1458
Australia,1455
USA,1454
Australia,1451
Spain,1450
Denmark,1448
Australia,1448
USA,1437
Switzerland,1427
Australia,1424
Australia,1424
France,1424
USA,1423
Denmark,1420
USA,1416
USA,1409
Italy,1408
Germany,1404
Spain,1394
Spain,1387
USA,1385
France,1384
Germany,1383
Italy,1381
Spain,1376
Italy,1374
France,1367
USA,1367
Spain,1364
Switzerland,1359
USA,1358
USA,1358
USA,1356
Spain,1355
Italy,1352
Italy,1351
Spain,1350
Austria,1349
Norway,1346
Austria,1346
USA,1341
Singapore,1340
Spain,1340
France,1338
USA,1337
Spain,1336
Spain,1331
Australia,1330
Australia,1330
USA,1329
USA,1328
USA,1328
Spain,1322
Australia,1321
Singapore,1311
France,1308
USA,1296
France,1295
USA,1294
Singapore,1283
USA,1282
USA,1268
Spain,1266
USA,1265
Austria,1263
Germany,1259
USA,1255
Australia,1255
USA,1249
USA,1247
USA,1246
USA,1245
Australia,1244
Australia,1238
USA,1238
USA,1237
USA,1230
France,1227
Denmark,1227
USA,1225
USA,1225
USA,1225
USA,1214
