CITY,Total_sale
Madrid,5070
Gensve,5053
Dublin,5045
Glendale,5044
Bergamo,5036
"Reggio Emilia",5035
Philadelphia,5035
Singapore,5033
Dublin,5033
Melbourne,5030
Philadelphia,5027
"North Sydney",5020
Pasadena,5018
Madrid,5018
Melbourne,5014
Graz,5013
Salzburg,5005
Marseille,5005
Chatswood,5002
"North Sydney",4998
Newark,4993
NYC,4991
"San Rafael",4986
"New Bedford",4984
NYC,4983
Chatswood,4977
Nashua,4966
Bridgewater,4965
Madrid,4954
Brisbane,4950
Sevilla,4948
Melbourne,4948
Madrid,4947
Torino,4946
Brickhaven,4935
Lyon,4934
Madrid,4932
"San Rafael",4917
"North Sydney",4910
Madrid,4910
Chatswood,4905
Madrid,4904
NYC,4901
Reims,4897
"San Rafael",4895
Madrid,4894
Brisbane,4892
"San Rafael",4891
"San Rafael",4885
Singapore,4880
Singapore,4873
Allentown,4873
Boston,4872
NYC,4860
Philadelphia,4849
Burlingame,4846
Madrid,4841
Madrid,4837
Burlingame,4830
Barcelona,4826
Newark,4819
Cambridge,4816
Paris,4815
Melbourne,4815
Melbourne,4814
"San Rafael",4814
"Reggio Emilia",4813
Reims,4812
Pasadena,4808
NYC,4808
Madrid,4802
"San Rafael",4797
Stavern,4792
Nashua,4784
Kobenhavn,4782
Chatswood,4775
Bergamo,4775
Cambridge,4773
Paris,4772
"Reggio Emilia",4765
Reims,4764
Paris,4758
Gensve,4756
Koln,4753
Torino,4751
"San Rafael",4746
"San Rafael",4739
Frankfurt,4737
"San Rafael",4729
Melbourne,4725
"New Haven",4720
"San Rafael",4716
Dublin,4714
Paris,4708
"San Rafael",4705
Pasadena,4704
Nantes,4702
Lille,4696
Brickhaven,4693
Nantes,4693
Madrid,4685
Salzburg,4682
"San Rafael",4675
Salzburg,4675
"Las Vegas",4668
Singapore,4667
Singapore,4662
Stavern,4660
Melbourne,4652
NYC,4646
"Glen Waverly",4643
Cambridge,4641
Singapore,4641
"North Sydney",4639
"San Diego",4636
"New Haven",4629
Oulu,4628
Paris,4619
Cambridge,4618
Madrid,4616
Versailles,4614
Madrid,4610
Burlingame,4608
Sevilla,4607
Burlingame,4601
Madrid,4597
Madrid,4595
Salzburg,4595
"San Rafael",4593
"New Haven",4592
Brickhaven,4581
"White Plains",4570
Kobenhavn,4566
Gensve,4564
Madrid,4557
Singapore,4556
Burbank,4556
NYC,4555
Gensve,4550
"New Haven",4537
Madrid,4536
Barcelona,4535
Gensve,4529
NYC,4529
Burlingame,4528
NYC,4527
Helsinki,4526
"South Brisbane",4524
"San Rafael",4522
Gensve,4518
Sevilla,4516
Brickhaven,4515
Pasadena,4512
Strasbourg,4509
Singapore,4509
Versailles,4508
NYC,4498
Bergamo,4493
Madrid,4492
"New Bedford",4490
"South Brisbane",4480
Oulu,4480
Nantes,4473
Bridgewater,4472
"Reggio Emilia",4468
Salzburg,4464
Paris,4462
Stavern,4461
"San Rafael",4457
Torino,4455
Lyon,4447
"North Sydney",4445
Glendale,4445
Strasbourg,4442
Philadelphia,4433
"Las Vegas",4432
Melbourne,4428
Madrid,4428
Glendale,4428
"San Jose",4421
"San Diego",4420
Sevilla,4410
NYC,4409
Madrid,4408
"San Jose",4407
Madrid,4406
Brickhaven,4405
Barcelona,4399
NYC,4396
NYC,4395
Stavern,4394
"North Sydney",4392
Graz,4391
Helsinki,4382
Reims,4380
Philadelphia,4379
NYC,4369
"San Rafael",4365
Allentown,4358
Madrid,4358
Helsinki,4353
"Reggio Emilia",4352
Reims,4347
Lyon,4340
Kobenhavn,4330
"South Brisbane",4329
Madrid,4327
Nantes,4325
"Las Vegas",4324
"San Rafael",4311
Gensve,4311
Bridgewater,4308
Paris,4305
Brickhaven,4305
Chatswood,4302
"San Rafael",4301
Reims,4301
Lyon,4301
Gensve,4300
Gensve,4297
Munich,4297
Singapore,4285
Allentown,4283
Chatswood,4277
Madrid,4273
Lyon,4264
Lyon,4262
Nashua,4258
NYC,4257
Madrid,4253
NYC,4248
Torino,4242
NYC,4242
Koln,4238
Madrid,4236
Stavern,4235
"New Bedford",4233
"North Sydney",4232
Brisbane,4231
Stavern,4228
"San Rafael",4224
"San Rafael",4223
Salzburg,4221
Newark,4219
Barcelona,4219
Reims,4215
Nantes,4215
Versailles,4208
Aaarhus,4207
Boston,4206
Madrid,4204
"South Brisbane",4197
Paris,4197
Pasadena,4196
NYC,4193
Allentown,4191
"San Diego",4187
Madrid,4187
Burlingame,4183
Burlingame,4181
"San Rafael",4181
Madrid,4180
Nantes,4177
Singapore,4176
"San Rafael",4175
"San Rafael",4173
Philadelphia,4171
NYC,4170
Philadelphia,4167
"Reggio Emilia",4166
Paris,4164
Chatswood,4164
"San Diego",4161
NYC,4157
Helsinki,4157
Bergamo,4157
Madrid,4149
Madrid,4144
Lyon,4143
Madrid,4142
Madrid,4141
Salzburg,4136
"New Haven",4134
Reims,4121
Pasadena,4119
"Las Vegas",4117
Burlingame,4115
Bergamo,4114
NYC,4112
"San Rafael",4107
Madrid,4103
Philadelphia,4103
Marseille,4101
Singapore,4100
Cambridge,4100
Chatswood,4095
Barcelona,4095
Glendale,4094
Nashua,4089
Madrid,4086
NYC,4081
Boston,4076
Bergamo,4072
"San Rafael",4072
Munich,4071
"Las Vegas",4069
Dublin,4062
Paris,4059
Madrid,4055
"New Bedford",4053
Chatswood,4048
Oulu,4046
"San Rafael",4044
"White Plains",4044
"North Sydney",4042
Paris,4040
Madrid,4039
"San Jose",4039
"New Bedford",4038
Barcelona,4036
Graz,4036
Singapore,4033
NYC,4032
Oulu,4026
Bergamo,4022
"White Plains",4009
Aaarhus,4000
Burbank,3990
Koln,3989
Glendale,3987
Bergamo,3987
Dublin,3986
Frankfurt,3985
Kobenhavn,3984
Dublin,3983
Oulu,3979
Frankfurt,3975
Madrid,3971
Madrid,3966
Melbourne,3966
Boston,3964
Madrid,3963
Brisbane,3958
Versailles,3958
Madrid,3953
"New Bedford",3953
Lyon,3950
"North Sydney",3949
"New Bedford",3946
Melbourne,3945
"San Rafael",3943
Barcelona,3940
Paris,3938
Boston,3937
Cambridge,3934
Chatswood,3934
Madrid,3930
"San Rafael",3929
Marseille,3928
Brickhaven,3925
"North Sydney",3921
Stavern,3920
"New Bedford",3919
Madrid,3919
Nashua,3918
Boston,3914
"North Sydney",3911
Barcelona,3910
Reims,3910
"San Jose",3909
Boston,3909
"Glen Waverly",3908
Pasadena,3902
Singapore,3901
NYC,3896
"San Diego",3892
Boston,3892
"New Bedford",3892
Paris,3884
"New Bedford",3884
"San Rafael",3881
Chatswood,3880
Burlingame,3877
Chatswood,3872
Nantes,3867
"North Sydney",3866
Lille,3864
Melbourne,3864
Frankfurt,3861
"San Diego",3859
Madrid,3858
Madrid,3857
Nantes,3857
Brickhaven,3854
NYC,3847
Madrid,3846
Nashua,3846
NYC,3845
Madrid,3844
"San Rafael",3843
Newark,3843
Koln,3841
Cambridge,3838
NYC,3837
"South Brisbane",3834
Salzburg,3833
NYC,3832
"San Rafael",3824
Singapore,3823
"San Rafael",3822
NYC,3820
Graz,3820
Bergamo,3815
Madrid,3815
"New Haven",3807
"San Rafael",3807
NYC,3803
Madrid,3802
Nantes,3793
"San Rafael",3792
NYC,3790
Toulouse,3790
Newark,3788
Frankfurt,3788
Strasbourg,3788
Frankfurt,3786
Frankfurt,3782
"San Rafael",3779
Helsinki,3778
Nantes,3778
Frankfurt,3773
Madrid,3773
"San Rafael",3765
Aaarhus,3765
Bergamo,3763
Madrid,3761
Nantes,3757
Burlingame,3756
"Las Vegas",3754
Singapore,3754
Pasadena,3751
Pasadena,3747
Paris,3745
Madrid,3736
Reims,3735
Oulu,3734
Allentown,3734
"New Bedford",3734
Glendale,3734
"San Jose",3729
Strasbourg,3726
"San Rafael",3724
Madrid,3722
Cambridge,3717
Helsinki,3715
Reims,3713
Lyon,3713
"San Rafael",3711
Chatswood,3711
Nashua,3711
Madrid,3705
Torino,3704
"San Diego",3703
"White Plains",3700
Marseille,3693
NYC,3685
Stavern,3680
Bridgewater,3677
Madrid,3676
"Glen Waverly",3675
Torino,3669
"Reggio Emilia",3668
Paris,3668
Lyon,3667
"White Plains",3666
Burlingame,3664
"San Rafael",3663
Burlingame,3661
Bergamo,3659
Newark,3659
Cambridge,3659
Philadelphia,3658
Singapore,3658
Madrid,3652
Toulouse,3645
Salzburg,3644
Madrid,3642
"North Sydney",3639
"New Bedford",3630
Paris,3630
"San Jose",3629
Gensve,3625
Helsinki,3623
Nantes,3619
Madrid,3617
"San Rafael",3612
Melbourne,3609
Brickhaven,3609
"White Plains",3608
NYC,3608
Madrid,3604
Nantes,3602
Madrid,3600
Melbourne,3600
Lyon,3599
Marseille,3598
"North Sydney",3598
Melbourne,3586
Salzburg,3584
Marseille,3583
"Reggio Emilia",3582
Versailles,3578
Madrid,3576
"San Rafael",3572
Paris,3570
Graz,3570
Lyon,3567
Madrid,3566
"New Haven",3565
"San Rafael",3561
"San Rafael",3560
Paris,3559
Nantes,3554
Singapore,3551
Madrid,3550
Nashua,3545
Helsinki,3544
Chatswood,3544
NYC,3543
Gensve,3541
Graz,3537
"San Rafael",3536
Versailles,3535
Boston,3534
Burbank,3532
"North Sydney",3528
Madrid,3527
Madrid,3526
Gensve,3525
Nashua,3525
Glendale,3524
Reims,3521
Madrid,3521
Gensve,3516
Glendale,3516
"San Rafael",3510
Bergamo,3509
Pasadena,3502
Nashua,3500
Sevilla,3496
Brickhaven,3495
NYC,3494
"White Plains",3494
Toulouse,3492
"San Rafael",3491
"San Rafael",3488
Helsinki,3482
Burlingame,3480
Madrid,3479
NYC,3478
Munich,3478
Brickhaven,3477
Paris,3476
Torino,3474
Boston,3474
Brickhaven,3473
"North Sydney",3470
Kobenhavn,3469
Madrid,3467
Madrid,3461
"San Rafael",3458
Madrid,3458
"New Bedford",3456
Bergamo,3453
"San Rafael",3451
"New Haven",3451
"San Rafael",3449
Koln,3448
Madrid,3448
NYC,3447
"New Bedford",3443
"New Bedford",3442
Madrid,3442
Madrid,3441
Kobenhavn,3440
Philadelphia,3433
Gensve,3432
Melbourne,3432
NYC,3432
Burlingame,3431
Toulouse,3431
Boston,3427
"New Bedford",3425
Lyon,3425
Brickhaven,3424
Bergamo,3421
Nantes,3420
Melbourne,3417
Madrid,3416
Koln,3416
"San Rafael",3415
Koln,3415
Cambridge,3407
Stavern,3403
Aaarhus,3403
NYC,3403
Oulu,3400
Stavern,3395
Madrid,3394
Helsinki,3393
Barcelona,3391
Madrid,3390
Nashua,3390
Bridgewater,3388
Chatswood,3386
Boston,3384
Kobenhavn,3382
Nantes,3381
Singapore,3380
Madrid,3377
"San Rafael",3376
Madrid,3375
Paris,3371
Salzburg,3368
"San Rafael",3366
Madrid,3361
Cambridge,3360
Madrid,3358
NYC,3358
Nantes,3357
Madrid,3353
"San Rafael",3351
Toulouse,3351
Bergamo,3349
Madrid,3348
"San Rafael",3345
Versailles,3343
Madrid,3341
Madrid,3340
NYC,3338
Singapore,3338
Lille,3337
Boston,3335
Boston,3331
NYC,3329
"San Diego",3328
Oulu,3328
"Las Vegas",3326
Philadelphia,3324
Paris,3318
NYC,3315
Bergamo,3313
Madrid,3311
Paris,3308
Salzburg,3307
"New Bedford",3305
Glendale,3302
Nashua,3301
Philadelphia,3299
Madrid,3298
Reims,3293
Toulouse,3293
Madrid,3290
Brickhaven,3289
Glendale,3288
"White Plains",3286
"San Jose",3282
Chatswood,3276
Oulu,3276
Paris,3274
Bergamo,3274
Salzburg,3273
Melbourne,3268
Barcelona,3267
Madrid,3266
NYC,3260
Philadelphia,3258
Bridgewater,3256
Boston,3255
Melbourne,3255
Pasadena,3251
Kobenhavn,3249
"San Diego",3247
"San Rafael",3246
NYC,3245
Burlingame,3244
"San Rafael",3242
Bergamo,3242
"San Rafael",3239
Madrid,3236
Gensve,3235
Burlingame,3233
"San Diego",3231
Brickhaven,3230
Madrid,3228
Stavern,3224
Nantes,3224
Lyon,3222
Paris,3222
Oulu,3220
"New Bedford",3211
Kobenhavn,3209
"New Bedford",3207
NYC,3206
Kobenhavn,3205
NYC,3204
Madrid,3200
Melbourne,3200
Graz,3195
Kobenhavn,3194
Newark,3193
Singapore,3191
Cambridge,3190
Newark,3189
Burlingame,3188
Aaarhus,3188
Chatswood,3186
Chatswood,3185
NYC,3185
Lyon,3185
Brickhaven,3184
"San Diego",3183
NYC,3183
Cambridge,3182
NYC,3180
Madrid,3178
Bergamo,3177
NYC,3176
Lyon,3172
"New Bedford",3171
NYC,3170
Salzburg,3170
Kobenhavn,3167
Philadelphia,3167
Madrid,3167
"San Rafael",3165
Nantes,3165
Kobenhavn,3164
Madrid,3164
Nantes,3164
NYC,3163
Melbourne,3161
"North Sydney",3160
"Las Vegas",3160
Philadelphia,3157
Brickhaven,3156
Glendale,3156
NYC,3155
NYC,3155
Cambridge,3155
Philadelphia,3154
Singapore,3149
Aaarhus,3148
Glendale,3146
Reims,3145
Lyon,3142
"Glen Waverly",3142
Paris,3142
Madrid,3140
"San Jose",3138
Philadelphia,3136
"San Rafael",3132
Burbank,3131
Madrid,3129
Singapore,3128
Koln,3128
Allentown,3116
"Reggio Emilia",3115
Lyon,3114
NYC,3114
Marseille,3112
"San Rafael",3108
"Glen Waverly",3107
"White Plains",3106
Paris,3106
Madrid,3104
Madrid,3102
Koln,3100
Pasadena,3099
Reims,3099
Brickhaven,3097
Chatswood,3095
Paris,3093
Pasadena,3092
Paris,3090
Madrid,3087
"Las Vegas",3081
Boston,3079
Philadelphia,3078
Cambridge,3078
Nantes,3074
Bergamo,3073
"San Rafael",3073
"San Rafael",3071
Madrid,3071
"Glen Waverly",3070
"San Rafael",3069
Oulu,3069
Salzburg,3067
Salzburg,3066
Kobenhavn,3065
Paris,3065
"San Jose",3064
"San Jose",3061
Singapore,3055
NYC,3054
Madrid,3053
Nashua,3052
Stavern,3052
"San Jose",3051
"San Rafael",3048
"New Haven",3043
Gensve,3043
Reims,3042
Gensve,3040
"White Plains",3038
NYC,3037
Oulu,3036
Madrid,3036
Pasadena,3033
Nantes,3029
Boston,3029
Singapore,3028
"San Diego",3025
Oulu,3024
Madrid,3023
Madrid,3021
Madrid,3019
"New Bedford",3014
"San Rafael",3012
Frankfurt,3012
Torino,3006
Madrid,3006
Madrid,3003
"San Jose",3002
Kobenhavn,3000
Melbourne,2998
Madrid,2995
Nantes,2994
Madrid,2992
"San Rafael",2986
Madrid,2986
"New Bedford",2985
Chatswood,2983
Boston,2981
Lille,2973
"White Plains",2971
"San Jose",2957
"San Diego",2956
NYC,2955
Torino,2955
Lyon,2954
Bergamo,2949
Madrid,2948
Torino,2942
Allentown,2938
Singapore,2937
Kobenhavn,2935
"Reggio Emilia",2935
"Reggio Emilia",2932
NYC,2930
Madrid,2928
Helsinki,2926
Paris,2925
"White Plains",2925
Madrid,2924
Madrid,2923
Madrid,2922
Madrid,2922
Melbourne,2921
"New Bedford",2920
Koln,2917
Burlingame,2916
"Reggio Emilia",2916
"San Diego",2914
Madrid,2914
"San Rafael",2913
NYC,2910
"South Brisbane",2909
Allentown,2908
Brickhaven,2907
"New Bedford",2906
Nantes,2904
Kobenhavn,2897
Madrid,2897
Salzburg,2896
Oulu,2884
Koln,2880
"Las Vegas",2877
NYC,2876
Stavern,2873
NYC,2871
Cambridge,2867
Madrid,2864
Nantes,2864
Gensve,2864
Dublin,2857
"New Haven",2856
"Las Vegas",2856
Madrid,2855
Philadelphia,2852
Burlingame,2852
Nashua,2852
"New Bedford",2851
Singapore,2851
Melbourne,2849
"San Rafael",2848
Oulu,2847
Gensve,2847
NYC,2846
NYC,2845
NYC,2844
Bridgewater,2844
Madrid,2839
"San Rafael",2839
Lyon,2837
Singapore,2835
"New Bedford",2832
Paris,2832
"San Jose",2832
Singapore,2830
Burlingame,2830
Bergamo,2828
Glendale,2826
"Reggio Emilia",2825
Koln,2820
Torino,2819
Lyon,2819
"North Sydney",2816
Burlingame,2814
Reims,2811
Frankfurt,2808
Bergamo,2807
Kobenhavn,2805
Singapore,2804
"San Jose",2803
"Reggio Emilia",2803
"South Brisbane",2802
Frankfurt,2801
Torino,2800
Madrid,2798
Reims,2798
Pasadena,2797
Madrid,2796
Madrid,2795
Melbourne,2794
Madrid,2794
"San Rafael",2793
Allentown,2793
Cambridge,2783
Glendale,2782
Madrid,2781
Singapore,2781
Allentown,2780
NYC,2771
"Glen Waverly",2770
Reims,2766
Boston,2765
Burlingame,2762
Strasbourg,2762
Bergamo,2762
Bergamo,2762
"San Jose",2761
Aaarhus,2760
Bergamo,2759
Pasadena,2759
Chatswood,2755
Pasadena,2753
Toulouse,2749
Madrid,2748
"San Jose",2748
Chatswood,2743
Madrid,2739
Cambridge,2733
Aaarhus,2732
Salzburg,2730
Paris,2730
"North Sydney",2730
Bergamo,2728
Singapore,2728
Chatswood,2725
NYC,2720
"San Diego",2719
"San Rafael",2714
Madrid,2712
Madrid,2712
Paris,2711
"San Rafael",2708
"North Sydney",2702
Madrid,2702
Oulu,2702
Oulu,2701
Madrid,2698
Pasadena,2697
Madrid,2695
"New Haven",2694
"San Rafael",2694
Philadelphia,2693
Aaarhus,2692
Graz,2692
Madrid,2691
"New Bedford",2688
Stavern,2688
Salzburg,2687
Gensve,2684
Lyon,2683
"Reggio Emilia",2681
Oulu,2677
Gensve,2675
Bergamo,2675
Melbourne,2675
"Reggio Emilia",2674
Madrid,2673
"North Sydney",2672
Madrid,2671
Nantes,2671
Madrid,2669
"San Jose",2669
"San Diego",2660
Brickhaven,2658
Barcelona,2658
Boston,2658
Melbourne,2657
"White Plains",2656
Philadelphia,2655
"San Rafael",2654
Stavern,2651
Madrid,2651
"San Rafael",2650
Sevilla,2647
"New Bedford",2644
Madrid,2642
Boston,2640
Newark,2637
Graz,2635
"Las Vegas",2635
Allentown,2634
Melbourne,2634
NYC,2633
"San Jose",2632
Versailles,2629
NYC,2627
Boston,2626
Paris,2626
Reims,2625
"San Rafael",2624
Nashua,2624
Lyon,2622
Madrid,2621
"Reggio Emilia",2621
Oulu,2618
Chatswood,2617
Bergamo,2617
Singapore,2616
Reims,2614
"New Bedford",2612
"New Bedford",2612
Madrid,2611
"Glen Waverly",2610
"San Diego",2609
"Las Vegas",2605
"San Rafael",2604
Brickhaven,2603
Reims,2603
"San Rafael",2602
Cambridge,2600
"San Rafael",2600
"North Sydney",2599
NYC,2599
Helsinki,2597
Paris,2592
NYC,2588
Helsinki,2587
Philadelphia,2587
Boston,2586
Melbourne,2585
Stavern,2584
Nashua,2583
Brickhaven,2579
Toulouse,2578
Boston,2576
"San Jose",2576
Nantes,2575
Madrid,2573
Bergamo,2571
NYC,2568
Chatswood,2568
"New Bedford",2560
NYC,2560
Pasadena,2560
Kobenhavn,2556
Boston,2545
Newark,2544
Nantes,2542
"San Rafael",2542
"Glen Waverly",2540
Stavern,2540
Barcelona,2539
Singapore,2538
Melbourne,2535
NYC,2534
NYC,2531
Nashua,2530
Madrid,2528
Bergamo,2527
"Reggio Emilia",2527
Madrid,2526
NYC,2525
Lille,2521
Graz,2521
Madrid,2515
Lille,2515
Helsinki,2513
Madrid,2513
Paris,2509
Strasbourg,2509
Koln,2505
Cambridge,2504
Oulu,2503
Brickhaven,2502
Salzburg,2499
Lille,2498
Gensve,2496
"Las Vegas",2493
Burlingame,2493
"Glen Waverly",2492
"San Rafael",2490
Barcelona,2488
Philadelphia,2488
Paris,2488
Madrid,2487
Madrid,2487
Stavern,2483
Allentown,2482
NYC,2482
Aaarhus,2482
Bergamo,2482
Melbourne,2480
Melbourne,2479
Bridgewater,2477
Melbourne,2475
Frankfurt,2473
"San Rafael",2473
"San Rafael",2471
Marseille,2469
"North Sydney",2468
"North Sydney",2465
"Reggio Emilia",2465
Madrid,2464
Melbourne,2461
Reims,2460
"Reggio Emilia",2457
"Glen Waverly",2455
"Reggio Emilia",2455
"New Bedford",2454
Madrid,2452
"Reggio Emilia",2449
Sevilla,2446
Salzburg,2444
Nantes,2443
Allentown,2443
Philadelphia,2441
Munich,2441
Versailles,2441
Boston,2440
Madrid,2440
Reims,2437
"San Rafael",2432
"San Rafael",2431
NYC,2428
Madrid,2428
"San Rafael",2424
Bridgewater,2422
Singapore,2420
"Glen Waverly",2420
Torino,2418
"North Sydney",2417
Brisbane,2415
Burbank,2413
Boston,2411
Boston,2409
Bergamo,2406
Allentown,2402
Madrid,2400
Nantes,2399
Madrid,2399
Madrid,2398
Strasbourg,2397
